im M N Q minsval
15 150 3680 24.533333333333335 2.3368940353393555
16 150 150 1.0 0.008564651012420654
25 150 1220 8.133333333333333 4.24168062210083
26 150 150 1.0 0.006893245968967676
31 1 150 150.0 0.4908316433429718
33 1 150 150.0 0.4457330107688904
38 1 400 400.0 0.7533557415008545
15 2048 4096 2.0 0.8689229488372803
16 2048 4096 2.0 1.407131314277649
17 512 2048 4.0 2.686722755432129
20 512 16384 32.0 5.430802345275879
21 512 16384 32.0 4.471874237060547
22 512 4096 8.0 3.063931465148926
24 512 16384 32.0 5.508063793182373
25 512 16384 32.0 5.766214847564697
26 512 4096 8.0 2.3823835849761963
28 512 16384 32.0 1.197381615638733
29 512 16384 32.0 2.9028258323669434
30 512 4096 8.0 3.286961555480957
32 512 16384 32.0 1.9883500337600708
33 512 16384 32.0 2.940713405609131
34 512 4096 8.0 3.0966978073120117
44 250 500 2.0 0.3671647906303406
49 117 250 2.1367521367521367 0.42317137122154236
23 2048 4096 2.0 0.8689229488372803
24 2048 4096 2.0 1.407131314277649
25 512 2048 4.0 2.686722755432129
28 512 16384 32.0 5.430802345275879
29 512 16384 32.0 4.471874237060547
30 512 4096 8.0 3.063931465148926
32 512 16384 32.0 5.508063793182373
33 512 16384 32.0 5.766214847564697
34 512 4096 8.0 2.3823835849761963
36 512 16384 32.0 1.197381615638733
37 512 16384 32.0 2.9028258323669434
38 512 4096 8.0 3.286961555480957
40 512 16384 32.0 1.9883500337600708
41 512 16384 32.0 2.940713405609131
42 512 4096 8.0 3.0966978073120117
50 17 400 23.529411764705884 0.9443931579589844
23 2048 4096 2.0 0.8689229488372803
24 2048 4096 2.0 1.407131314277649
25 512 2048 4.0 2.686722755432129
28 512 16384 32.0 5.430802345275879
29 512 16384 32.0 4.471874237060547
30 512 4096 8.0 3.063931465148926
32 512 16384 32.0 5.508063793182373
33 512 16384 32.0 5.766214847564697
34 512 4096 8.0 2.3823835849761963
36 512 16384 32.0 1.197381615638733
37 512 16384 32.0 2.9028258323669434
38 512 4096 8.0 3.286961555480957
40 512 16384 32.0 1.9883500337600708
41 512 16384 32.0 2.940713405609131
42 512 4096 8.0 3.0966978073120117
50 17 400 23.529411764705884 0.9443931579589844
15 2048 4096 2.0 0.957198977470398
16 2048 4096 2.0 2.231940269470215
17 512 2048 4.0 3.4988090991973877
20 512 16384 32.0 8.849318504333496
21 512 16384 32.0 7.94413948059082
22 512 4096 8.0 4.614838600158691
24 512 16384 32.0 9.08983039855957
25 512 16384 32.0 8.552602767944336
26 512 4096 8.0 4.518444061279297
28 512 16384 32.0 6.116081237792969
29 512 16384 32.0 4.232077598571777
30 512 4096 8.0 4.012725830078125
32 512 16384 32.0 5.5251641273498535
33 512 16384 32.0 1.7453490495681763
34 512 4096 8.0 2.2070164680480957
41 1124 1800 1.601423487544484 0.5069497227668762
42 300 1500 5.0 2.8020505905151367
44 300 1800 6.0 2.933309555053711
45 300 1500 5.0 1.99747896194458
47 300 1800 6.0 2.16249942779541
48 300 1500 5.0 1.7307891845703125
50 300 1800 6.0 1.9706250429153442
51 300 1500 5.0 1.6591613292694092
53 300 1800 6.0 1.9251357316970825
54 300 1500 5.0 1.6387040615081787
56 300 1800 6.0 1.8982528448104858
57 300 1500 5.0 1.6345361471176147
59 300 1800 6.0 1.8767868280410767
60 300 1500 5.0 1.605380654335022
62 300 1800 6.0 1.807625651359558
63 300 1500 5.0 1.5787752866744995
66 129 300 2.3255813953488373 0.6021490693092346
