im M N alpha D minsval
23 2048 4096 5.7029920495989135 0.028451610511374015 0.8689229488372803
24 2048 4096 5.234361514445998 0.04264377526480412 1.407131314277649
25 512 2048 3.2759086154868178 0.04030197619663345 2.686722755432129
28 512 16384 2.791929117673587 0.025378700331326387 5.430802345275879
29 512 16384 3.0783106162008305 0.021362407748185208 4.471874237060547
30 512 4096 3.6895340823321936 0.02273021600925962 3.063931465148926
32 512 16384 2.8383103170005635 0.02525349278695277 5.508063793182373
33 512 16384 3.1297699262888057 0.017658737880242026 5.766214847564697
34 512 4096 3.8378605851245453 0.026490257683743468 2.3823835849761963
36 512 16384 2.8694695508308077 0.014012169646802186 1.197381615638733
37 512 16384 3.6648164645760497 0.02267272645401469 2.9028258323669434
38 512 4096 5.352688586635342 0.03927577818827177 3.286961555480957
40 512 16384 2.8296809049794334 0.015090228747512535 1.9883500337600708
41 512 16384 3.5832060072123393 0.022174269858230455 2.940713405609131
42 512 4096 5.031762997124319 0.03937477561336461 3.0966978073120117
50 17 400 2.3318407046924348 0.1601266154344823 0.9443931579589844
15 2048 4096 5.7029920495989135 0.028451610511374015 0.8689229488372803
16 2048 4096 5.234361514445998 0.04264377526480412 1.407131314277649
17 512 2048 3.2759086154868178 0.04030197619663345 2.686722755432129
20 512 16384 2.791929117673587 0.025378700331326387 5.430802345275879
21 512 16384 3.0783106162008305 0.021362407748185208 4.471874237060547
22 512 4096 3.6895340823321936 0.02273021600925962 3.063931465148926
24 512 16384 2.8383103170005635 0.02525349278695277 5.508063793182373
25 512 16384 3.1297699262888057 0.017658737880242026 5.766214847564697
26 512 4096 3.8378605851245453 0.026490257683743468 2.3823835849761963
28 512 16384 2.8694695508308077 0.014012169646802186 1.197381615638733
29 512 16384 3.6648164645760497 0.02267272645401469 2.9028258323669434
30 512 4096 5.352688586635342 0.03927577818827177 3.286961555480957
32 512 16384 2.8296809049794334 0.015090228747512535 1.9883500337600708
33 512 16384 3.5832060072123393 0.022174269858230455 2.940713405609131
34 512 4096 5.031762997124319 0.03937477561336461 3.0966978073120117
44 250 500 2.210492000172701 0.04341539700423733 0.3671647906303406
49 117 250 2.0594634533678207 0.042599765343241947 0.42317137122154236
15 2048 4096 6.250431336162555 0.07053042665294307 0.957198977470398
16 2048 4096 4.808924706007467 0.039463650856693344 2.231940269470215
17 512 2048 7.173536579929355 0.055248334926482845 3.4988090991973877
20 512 16384 2.9130244177362092 0.02442360436481672 8.849318504333496
21 512 16384 2.8312957286563876 0.02216198368380687 7.94413948059082
22 512 4096 3.6638167480840527 0.018771013673185177 4.614838600158691
24 512 16384 2.9797189198243226 0.025766026072683385 9.08983039855957
25 512 16384 2.8086131847984586 0.022336252119697475 8.552602767944336
26 512 4096 3.596827552582403 0.023383924755066343 4.518444061279297
28 512 16384 3.043168673749733 0.010223071529346123 6.116081237792969
29 512 16384 3.5645375970964768 0.03811478108467414 4.232077598571777
30 512 4096 5.94355428672735 0.030491160349696678 4.012725830078125
32 512 16384 2.99438845053524 0.009852516480454376 5.5251641273498535
33 512 16384 3.651598622913033 0.03837830658835717 1.7453490495681763
